specification,theme_chinese,theme,date,horizon_months,predicted_with_policy,counterfactual_no_policy,effect_share,effect_pp,se_effect_pp,ci_low_pp,ci_high_pp,relative_change_pct
month_fe_primary_share_aug2021,培训退费与机构纠纷,Refund Disputes,2024-08-01,36,0.01996907446525215,0.2000379690199399,-0.18006889455468775,-18.006889455468773,8.28880986823492,-34.252956797209215,-1.760822113728333,-90.01735792305429
month_fe_primary_share_aug2021,学校课后服务,After-school Services,2021-08-01,0,0.024670289537398988,0.016542305386188123,0.008127984151210865,0.8127984151210864,0.21725633096000807,0.38697600643947067,1.2386208238027023,49.13453089795613
month_fe_primary_share_aug2021,学校课后服务,After-school Services,2022-08-01,12,0.025564274047480035,0.01684050391962747,0.008723770127852564,0.8723770127852564,0.18788248831281976,0.5041273356921296,1.240626689878383,51.802310486000835
month_fe_primary_share_aug2021,学校课后服务,After-school Services,2023-08-01,24,0.026489774278265453,0.017143984198084633,0.00934579008018082,0.934579008018082,0.18710549338188748,0.5678522409895825,1.3013057750465815,54.51352481545657
month_fe_primary_share_aug2021,学校课后服务,After-school Services,2024-08-01,36,0.027447836490543047,0.017452836366566627,0.00999500012397642,0.999500012397642,0.22099866821640968,0.566342622693479,1.432657402101805,57.26862908726547
month_fe_primary_share_aug2021,家庭教育压力与时间成本,Family Pressure,2021-08-01,0,0.06932559485198846,0.06405191213203548,0.005273682719952974,0.5273682719952975,0.7965966077878679,-1.0339610792689236,2.0886976232595185,8.2334508750994
month_fe_primary_share_aug2021,家庭教育压力与时间成本,Family Pressure,2022-08-01,12,0.06605520401605247,0.05926504437917407,0.006790159636878401,0.6790159636878401,0.7205920808329802,-0.733344514744801,2.091376442120481,11.457275883293669
month_fe_primary_share_aug2021,家庭教育压力与时间成本,Family Pressure,2023-08-01,24,0.06292866005529635,0.05481496766247769,0.008113692392818658,0.8113692392818659,0.7532418930809436,-0.6649848711567836,2.2877233497205154,14.801965117955726
month_fe_primary_share_aug2021,家庭教育压力与时间成本,Family Pressure,2024-08-01,36,0.05994060479799921,0.05068103529075522,0.009259569507243992,0.9259569507243992,0.8581025240989726,-0.755923996509587,2.6078378979583854,18.270284839530575
month_fe_primary_share_aug2021,学生身心健康,Student Well-being,2021-08-01,0,0.04229298477642485,0.0563241043824963,-0.014031119606071452,-1.4031119606071452,0.4476884569979211,-2.2805813363230705,-0.5256425848912197,-24.911394082338695
month_fe_primary_share_aug2021,学生身心健康,Student Well-being,2022-08-01,12,0.05275558742166107,0.052672235399490466,8.33520221706005e-05,0.00833520221706005,0.41838232471923176,-0.8116941542326341,0.8283645586667542,0.15824660096238638
month_fe_primary_share_aug2021,学生身心健康,Student Well-being,2023-08-01,24,0.06562910144160455,0.04924478567126595,0.016384315770338602,1.6384315770338602,0.3960898480291106,0.8620954748968034,2.414767679170917,33.27116880904358
month_fe_primary_share_aug2021,学生身心健康,Student Well-being,2024-08-01,36,0.08137416637948708,0.046029527789744916,0.03534463858974216,3.5344638589742163,0.4130384870422425,2.724908424371421,4.344019293577012,76.78688069795216
month_fe_primary_share_aug2021,招生升学与教育公平,Admissions Equity,2021-08-01,0,0.6420666461943929,0.674550822710961,-0.0324841765165681,-3.2484176516568097,3.7874415036162006,-10.671802998744564,4.174967695430944,-4.815675175669791
month_fe_primary_share_aug2021,招生升学与教育公平,Admissions Equity,2022-08-01,12,0.6569362495676918,0.7030334571156979,-0.04609720754800606,-4.609720754800605,2.8853750668034484,-10.265055885735364,1.0456143761341525,-6.556900967007587
month_fe_primary_share_aug2021,招生升学与教育公平,Admissions Equity,2023-08-01,24,0.6715041690475477,0.7300210332344564,-0.05851686418690871,-5.851686418690871,2.6255686833456693,-10.997801038048383,-0.7055717993333592,-8.015777836926405
month_fe_primary_share_aug2021,招生升学与教育公平,Admissions Equity,2024-08-01,36,0.6857493930222571,0.7554093114402052,-0.06965991841794805,-6.965991841794805,3.084196046685647,-13.011016093298672,-0.9209675902909373,-9.221479979527896
