architecture_id,month,top_k,synthetic_to_real_topk,real_to_synthetic_topk,bidirectional_fidelity,synthetic_to_real_random_baseline,real_to_synthetic_random_baseline,random_same_horizon_baseline,excess_fidelity,direction_gap,synthetic_n,real_unique_n
M3,2021-08,10,0.7481499733930479,0.6049239635467529,0.6765369684699004,0.56906714619257,0.5690629482269287,0.5690650472097494,0.10747192126015104,0.14322600984629497,100,1796
M3,2022-02,1,0.8160195148943785,0.610808789730072,0.7134141523122253,0.5537253686414344,0.5539245009422302,0.5538249347918323,0.159589217520393,0.2052107251643065,100,784
M3,2022-02,5,0.7415204164688575,0.5980836153030396,0.6698020158859486,0.5537253686414344,0.5539245009422302,0.5538249347918323,0.11597708109411631,0.14343680116581792,100,784
M3,2022-02,10,0.7196748049716308,0.5909789204597473,0.6553268627156891,0.5537253686414344,0.5539245009422302,0.5538249347918323,0.10150192792385682,0.12869588451188352,100,784
M3,2022-08,1,0.7515091755588106,0.6272521018981934,0.689380638728502,0.557380317498074,0.5590351819992065,0.5582077497486403,0.13117288897986168,0.12425707366061722,100,1215
M3,2022-08,5,0.7319415757854644,0.609351634979248,0.6706466053823562,0.557380317498074,0.5590351819992065,0.5582077497486403,0.11243885563371592,0.12258994080621632,100,1215
M3,2022-08,10,0.7196951456709795,0.6003258228302002,0.6600104842505898,0.557380317498074,0.5590351819992065,0.5582077497486403,0.10180273450194954,0.11936932284077928,100,1215
M3,2023-08,1,0.7835331513039384,0.626530647277832,0.7050318992908853,0.5569091934344436,0.558010458946228,0.5574598261903358,0.14757207310054943,0.15700250402610638,100,934
M3,2023-08,5,0.724525373357879,0.6075841188430786,0.6660547461004789,0.5569091934344436,0.558010458946228,0.5574598261903358,0.10859491991014303,0.11694125451480042,100,934
M3,2023-08,10,0.7081205839834241,0.5985040664672852,0.6533123252253547,0.5569091934344436,0.558010458946228,0.5574598261903358,0.0958524990350188,0.10961651751613899,100,934
M3,2024-08,1,0.7308590130117543,0.6145214438438416,0.6726902284277979,0.5550375894258665,0.5549086332321167,0.5549731113289915,0.11771711709880639,0.11633756916791271,100,679
M3,2024-08,5,0.7083107431714694,0.601403534412384,0.6548571387919266,0.5550375894258665,0.5549086332321167,0.5549731113289915,0.09988402746293512,0.10690720875908533,100,679
M3,2024-08,10,0.6960018331338236,0.5940923094749451,0.6450470713043843,0.5550375894258665,0.5549086332321167,0.5549731113289915,0.0900739599753928,0.10190952365887851,100,679
