contrast_id,family,left_scenario,right_scenario,horizon_months,simulation_month,effect_magnitude,paired_cosine_displacement,alignment_with_full_horizon_direction,T_observed,raw_p,BH_q_secondary_40,reject_BH_0_05_secondary
necessity_A,secondary_40,P_ABC_MINUS_A_STATE,P_ABC,6,2022-02,0.0690569594886061,0.0336129887533481,0.7165415852276151,0.0690569604457938,9.999000099990002e-05,0.0001599840015998,True
necessity_A,secondary_40,P_ABC_MINUS_A_STATE,P_ABC,12,2022-08,0.0691721328094097,0.0364013218133551,0.5583938890644137,0.0691721317735864,9.999000099990002e-05,0.0001599840015998,True
necessity_A,secondary_40,P_ABC_MINUS_A_STATE,P_ABC,24,2023-08,0.0699014822359466,0.0336513176102695,0.6599881988210516,0.0699014836418569,9.999000099990002e-05,0.0001599840015998,True
necessity_A,secondary_40,P_ABC_MINUS_A_STATE,P_ABC,36,2024-08,0.0668481095706227,0.0322556497440231,0.5439019267225056,0.0668481087930956,9.999000099990002e-05,0.0001599840015998,True
necessity_B,secondary_40,P_ABC_MINUS_B_STATE,P_ABC,0,2021-08,0.0,1.4294198782987396e-08,,0.0,1.0,1.0,False
necessity_B,secondary_40,P_ABC_MINUS_B_STATE,P_ABC,6,2022-02,0.0583153348149403,0.0840814152236078,0.4594088356359396,0.058315334867777,0.1507849215078492,0.177394025303352,False
necessity_B,secondary_40,P_ABC_MINUS_B_STATE,P_ABC,12,2022-08,0.0556636811115947,0.0865020901299529,0.2913862836055783,0.0556636776827176,0.3397660233976602,0.3883040267401831,False
necessity_B,secondary_40,P_ABC_MINUS_B_STATE,P_ABC,24,2023-08,0.066101842169285,0.0817494634730358,0.2510963938109558,0.0661018456073248,0.0047995200479952,0.005999400059994,True
necessity_B,secondary_40,P_ABC_MINUS_B_STATE,P_ABC,36,2024-08,0.0508147119504027,0.0852454304667286,-0.0263558986622725,0.0508147115685063,0.6296370362963704,0.699596706995967,False
necessity_C,secondary_40,P_ABC_MINUS_C_STATE,P_ABC,0,2021-08,0.0,1.4294198782987396e-08,,0.0,1.0,1.0,False
necessity_C,secondary_40,P_ABC_MINUS_C_STATE,P_ABC,6,2022-02,0.0727715524055751,0.0871431893443779,0.5487602295025409,0.0727715502856164,0.0005999400059994,0.0008570571514277,True
necessity_C,secondary_40,P_ABC_MINUS_C_STATE,P_ABC,12,2022-08,0.0727014074070529,0.0891640185648413,0.5705593583856884,0.0727014032156322,0.0046995300469953,0.005999400059994,True
necessity_C,secondary_40,P_ABC_MINUS_C_STATE,P_ABC,24,2023-08,0.0726050614016105,0.0847083962308967,0.5458307903254896,0.072605060803236,0.0007999200079992,0.0011033379420678,True
necessity_C,secondary_40,P_ABC_MINUS_C_STATE,P_ABC,36,2024-08,0.085301692608718,0.0886269438079543,0.4382605787418698,0.0853016969544552,9.999000099990002e-05,0.0001599840015998,True
